Iteration;Stock price;Amount available
546;49.9635883940;21151
547;58.9849337878;21151
548;49.5062764401;21151
549;55.2801768816;21206
550;43.6599422133;21206
551;40.5488415845;21206
552;48.7211808634;21181
553;43.9356337819;21181
554;51.4353607061;21140
555;57.6386350879;21143
556;49.1084496640;21143
557;56.5112742881;21143
558;48.2949577052;21143
559;58.9063484093;21086
560;52.6795261784;21086
561;46.8412059089;21086
562;56.4946441056;21111
563;48.3038172633;21111
564;41.6519307631;21111
565;47.0599130403;21124
566;42.3840581469;21124
567;50.5279502344;21124
568;47.4670493091;21124
569;52.3464292708;21181
570;45.6762806710;21181
571;42.2442526763;21181
572;51.8413931919;21153
573;44.3268022548;21153
574;53.0674004438;21194
575;64.0939677592;21180
576;54.7454454315;21180
577;61.5368458808;21180
578;55.2308869399;21180
579;68.5020208466;21132
580;56.0535475607;21132
581;47.8952798495;21132
582;53.0242719621;21160
583;45.3344079221;21160
584;53.1619592005;21120
585;56.9409057056;21134
586;48.7626665866;21134
587;58.9276764250;21134
588;50.4294771087;21134
589;49.7419799092;21182
590;54.5263798000;21202
591;68.7645191813;21143
592;92.4497073929;20980
593;79.0251521125;20980
594;67.4760180406;20980
595;86.1794140185;20970
596;74.7421748604;20970
597;82.2633185332;20971
598;71.0230867967;20971
599;87.5433491521;20938
600;113.6224908123;20928
601;131.5955815219;20917
602;166.3767139554;20913
603;153.3778742925;20913
604;133.2803216586;20913
605;113.9440733548;20913
606;129.6314807600;20970
607;155.6813848715;20969
608;133.1558892900;20969
609;147.3605108640;20967
610;125.9877419510;20967
611;140.8122864383;20978
612;170.5195756067;20967
613;141.1598272489;20967
614;120.7467299686;20967
615;135.7093650046;20967
616;166.7746666559;20941
617;154.7452156203;20941
618;167.0051159979;20952
619;193.5734748690;20953
620;148.1064621592;20953
621;144.2709210721;20997
622;162.3971672915;21048
623;139.3749560769;21048
624;118.9994090549;21048
625;136.9619465708;21048
626;164.9031849863;21034
627;144.9622365379;21034
628;159.3304617839;21037
629;185.7264286932;21036
630;168.3774855563;21036
631;180.2716954328;21040
632;234.3842063595;21028
633;200.3940108627;21028
634;171.7752340924;21028
635;146.8696998180;21028
