Iterations;Agent 1;Agent 2;Agent 3;Agent 4;Agent 5;Agent 6;Agent 7;Agent 8;Agent 9;Agent 10
103;651.5781082644584;656.6141150371147;637.2781002725193;640.6360774174574;794.5684447127448;530.2465801964038;528.7647608558078;791.1961290808084;524.5830417878612;526.8478505376384
104;791.2005872797072;284.32284681883374;640.7378607794923;637.3839974046003;791.4332370324076;527.5284363102438;531.632471978559;766.6703380562857;527.7477288811025;530.0550140116206
105;416.9543041053249;387.515154067315;637.5812397438401;640.9065130003434;788.6351247003654;530.2809254274144;556.0649290470265;790.1315790584887;552.152616922376;554.4878990471975
106;717.024776563828;662.5191487723196;640.7852862254342;637.8366267003978;791.7796080179307;553.9507449986777;553.2665303083214;787.0480921554831;555.0231307811797;557.5371595065724
107;640.8370163832631;555.1667353417486;637.5860701690652;634.6002749037905;787.3662552419572;556.9756233946392;556.049031761018;791.5263562290803;558.2142977395378;554.5546838167578
108;779.8496510900736;673.5066523864165;634.8277697900417;637.7669322514039;791.1869352593191;560.0876593351863;559.1398081575945;788.4801077065035;561.3188380508288;559.1939765316681
109;716.5424528296811;776.8248239070377;637.8750578210175;634.8162853052688;788.327317915777;586.9516495331377;582.9795936178081;791.6903881136976;586.5647856669366;584.9583111660847
110;705.0631552921079;714.2281483361131;634.8878560992988;638.124692563597;791.4870535009694;583.696790498424;585.7537656209915;788.0309687871987;610.5715177449523;612.2178302293321
111;804.2104692363788;788.1819360684489;638.4202550401748;634.6899154516607;788.1436507585538;608.8429009330351;612.876247650991;791.0564751842743;632.328407576434;615.2403729929882
112;655.0342297386003;334.6356167882908;635.0554060925652;631.8220812180001;790.9233590249914;612.6070434415562;615.7319445520469;788.0115763323457;635.5862160366088;612.1365674679643
113;154.40726411432388;172.2708330527231;638.2388443129024;634.8068817515112;788.0955886645366;633.5576108213996;633.3254373394012;791.0299845936183;632.5309795349835;633.7726805543505
114;389.2962879849829;384.0882961876155;634.8294541324053;632.0376325493319;790.8110908365719;636.7023679491078;636.5523034207788;787.9180268679493;635.4356700221108;630.5113724583504
115;173.96920074278552;210.92215425689065;637.9122918411016;628.869368036688;787.673487620092;633.7935786346608;639.764190436036;790.8407767931318;632.5675459072801;627.4753219975509
116;398.9323242693415;395.74112337102343;641.0803315389002;625.7125152362562;790.9326039366135;637.8835243897826;643.0608614803301;793.986533432389;635.3128301278057;624.495106796134
117;535.2626091032203;499.7242739151466;644.1740589014081;622.9441221292319;794.2021042827197;641.0579167302046;646.2853213267799;797.1308582578021;638.139346635226;621.5388191743885
118;727.6729972751309;749.3032909294822;647.4199377164362;619.6860827965894;797.1878651633715;637.8034775597181;648.9965828722981;799.8653584734359;635.3367430029672;618.3360450849204
119;743.4888112635246;733.4194315124827;650.3664255480777;636.5712727027902;800.233950964664;648.8844552526161;651.9147833739293;802.650019855459;638.4137710033783;637.1893958060311
120;335.1391078712599;758.2781142336033;647.3924925972707;648.2866536630452;803.25702370661;651.6985746144337;649.0443909303588;799.7447203927519;646.5439445285086;647.6358418176934
121;173.70029637221;537.3933976921408;650.4327044095694;645.0248235947678;800.061111974909;648.8331234788857;645.9689391801451;803.208168740109;649.8410599598501;644.8092507047576
122;332.4103678570758;367.9807508872921;647.1689975611362;642.0735709651809;803.1647323041647;651.5658744768529;643.0681471549747;799.90313666787;652.9980461325338;647.7098724948386
123;480.26979701505593;152.6691635964805;650.2261341845143;644.8250937743061;799.9742379255597;654.2958904913487;639.9619607722094;803.0504076499647;650.1487801001322;644.4371386108222
124;292.3668354460026;345.302308042301;647.1920796054038;641.5648701506013;802.9652190912524;650.5357021508567;643.0585685941579;800.1624254217078;653.2550807874819;647.3893491405138
125;516.6544684612361;478.8364274488932;650.2948777171212;644.4079640560386;799.8570954145661;653.4184833685254;640.2983931329672;803.0302303754881;650.2838723187323;644.1079752260042
